date,precipitation,windSpeed
14/2/2018,0,17.6
15/2/2018,0,8.4
16/2/2018,0,6.2
17/2/2018,0.4,35.5
18/2/2018,0,22.7
19/2/2018,0.4,12.4
20/2/2018,0.4,16.6
21/2/2018,0.4,29.2
22/2/2018,2.3,33.6
23/2/2018,2,27.7
24/2/2018,0.2,21.4
25/2/2018,0.4,16
26/2/2018,0.4,25.5
27/2/2018,0,22.4
28/2/2018,0.4,10.9
1/3/2018,0,10.2
2/3/2018,0.4,18
3/3/2018,0,14
4/3/2018,0.4,8
5/3/2018,0,7
6/3/2018,0.4,32
7/3/2018,0.4,31.1
8/3/2018,20.3,41.3
9/3/2018,0,27.2
10/3/2018,0,25.8
11/3/2018,0,28.3
12/3/2018,0,17.4
13/3/2018,0,14.9
14/3/2018,2.4,21.8
15/3/2018,0.4,10.8
16/3/2018,0,9.6
17/3/2018,0.4,42.9
18/3/2018,0.4,24.9
19/3/2018,0.4,10.2
20/3/2018,0.4,25
21/3/2018,0,30.1
22/3/2018,0,18.9
23/3/2018,0,21.3
24/3/2018,0.4,28
25/3/2018,0.4,28.5
26/3/2018,0,11.7
27/3/2018,0,10.5
28/3/2018,0,15.3
29/3/2018,0,17.5
30/3/2018,0,17.1
31/3/2018,0,26
1/4/2018,0,11.2
2/4/2018,0,6.5
3/4/2018,0,4
4/4/2018,0,9.8
5/4/2018,0,7.1
6/4/2018,0.4,26.2
7/4/2018,0.4,38.6
8/4/2018,0,16.7
9/4/2018,0,17.4
10/4/2018,0,11
11/4/2018,0,9.9
12/4/2018,0,8.8
13/4/2018,0.4,11.9
14/4/2018,0.4,6.7
15/4/2018,17.2,21
16/4/2018,2,24.4
17/4/2018,0.2,19.1
18/4/2018,0.1,22.7
19/4/2018,0,21.6
20/4/2018,0.4,27.7
21/4/2018,0.4,21.4
22/4/2018,0.4,13.8
23/4/2018,0.4,7.6
24/4/2018,8.2,7.5
25/4/2018,0.4,26.9
26/4/2018,0.3,24
27/4/2018,0.4,11.6
28/4/2018,0.1,22.8
29/4/2018,0.4,14.4
30/4/2018,0.4,9.8
1/5/2018,0.4,6
2/5/2018,0,15.7
3/5/2018,1.9,26.5
4/5/2018,0.8,38
5/5/2018,0.4,24.7
6/5/2018,1,17.3
7/5/2018,6.7,34.3
8/5/2018,28.4,12.5
9/5/2018,5.4,41.2
10/5/2018,8,51.6
11/5/2018,1,34
12/5/2018,0,10.2
13/5/2018,0,15.1
14/5/2018,0,18.6
15/5/2018,0,14.5
16/5/2018,0,12.7
17/5/2018,0,16.5
18/5/2018,0,16.9
19/5/2018,0,16.6
20/5/2018,0,16
21/5/2018,0,8.2
22/5/2018,0,11
23/5/2018,0,16.2
24/5/2018,0,12.3
25/5/2018,0.4,15.7
26/5/2018,0.9,23.5
27/5/2018,3.4,23.7
28/5/2018,0,16.9
29/5/2018,0,21.5
30/5/2018,0,19.4
31/5/2018,0,20.2
1/6/2018,0,17.8
2/6/2018,0.4,33.6
3/6/2018,0.4,29.5
4/6/2018,12.4,37.6
5/6/2018,28.2,21.2
6/6/2018,58.3,28.3
7/6/2018,47.4,20
8/6/2018,70.2,20
9/6/2018,4.8,20
10/6/2018,0,12.8
11/6/2018,0,14.6
12/6/2018,39.6,17.8
